shipment_id,product,origin,destination,origin_lat,origin_lon,dest_lat,dest_lon,cargo_kg,invoice_ngn,distance_km,transit_hrs,delay_hrs,total_hrs,shelf_hrs,time_ratio,has_cold_chain,avg_temp,max_temp,max_temp_allowed,temp_exceedance,avg_humidity,road_quality,vibration_score,borrower_history,prior_defaults,spoilage_prob,spoiled,default_prob,defaulted,financing_rate
XB-20240011,Tomatoes,Jos,Abuja,9.92,8.89,9.07,7.4,2570.7,841946.0,280.3,6.09,2.04,8.14,72,0.113,0,33.0,38.8,25,13.8,64.3,fair,1.479,good,1,0.7629,1,0.63,0,7.04
XB-20240012,Tomatoes,Ibadan,Port Harcourt,7.38,3.93,4.82,7.04,409.3,157424.0,540.0,11.0,0.49,11.49,72,0.16,0,39.0,46.7,25,21.7,67.2,fair,1.072,poor,0,0.4301,0,0.4792,0,5.83
XB-20240013,Mangoes,Lagos,Enugu,6.52,3.38,6.44,7.5,3540.9,718112.0,618.2,16.31,1.43,17.74,96,0.185,0,32.6,39.0,20,19.0,80.8,poor,1.719,good,1,0.6123,1,0.4743,0,5.79
XB-20240014,Mangoes,Abuja,Kano,9.07,7.4,12.0,8.52,4019.8,866671.0,427.5,9.47,0.71,10.18,96,0.106,1,18.2,23.0,20,3.0,75.1,fair,1.091,excellent,0,0.239,0,0.0912,0,2.73
XB-20240015,Fresh Fish,Kano,Jos,12.0,8.52,9.92,8.89,4833.2,2875140.0,354.1,5.88,0.32,6.2,24,0.258,1,2.8,5.6,4,1.6,90.9,poor,1.082,good,0,0.39,0,0.2511,0,4.01
XB-20240016,Leafy Greens,Jos,Port Harcourt,9.92,8.89,4.82,7.04,950.9,252952.0,737.2,14.32,1.88,16.2,48,0.338,0,29.1,36.8,10,26.8,82.3,fair,1.112,good,0,0.7205,1,0.4178,0,5.34
XB-20240017,Mangoes,Port Harcourt,Kano,4.82,7.04,12.0,8.52,3577.6,711816.0,1079.2,28.45,1.01,29.46,96,0.307,0,23.7,29.4,20,9.4,78.5,good,0.0,fair,1,0.4085,0,0.4588,0,5.67
XB-20240018,Strawberries,Abuja,Jos,9.07,7.4,9.92,8.89,3287.8,2608266.0,277.7,5.41,4.26,9.66,36,0.268,1,11.4,14.6,8,6.6,57.6,good,0.0,excellent,0,0.3215,0,0.1483,0,3.19
XB-20240019,Peppers,Enugu,Lagos,6.44,7.5,6.52,3.38,767.2,143528.0,593.8,11.02,3.15,14.17,96,0.148,0,34.6,38.2,22,16.2,61.6,poor,2.614,poor,1,0.5432,0,0.708,1,7.66
XB-20240020,Tomatoes,Kano,Zaria,12.0,8.52,11.08,7.71,1343.5,458737.0,202.7,3.97,1.03,5.0,72,0.069,1,23.6,25.9,25,0.9,90.5,poor,1.71,poor,2,0.3282,0,0.726,1,7.81
XB-20240021,Leafy Greens,Jos,Onitsha,9.92,8.89,6.14,6.79,4876.4,1500817.0,593.1,16.17,2.0,18.18,48,0.379,0,35.3,42.4,10,32.4,70.8,good,0.0,poor,0,0.5536,1,0.6035,0,6.83
XB-20240022,Peppers,Kaduna,Abuja,10.52,7.44,9.07,7.4,4932.8,932900.0,208.8,4.51,0.13,4.64,96,0.048,0,29.2,33.7,22,11.7,88.5,good,0.0,excellent,0,0.4298,1,0.212,0,3.7
XB-20240023,Dairy,Jos,Onitsha,9.92,8.89,6.14,6.79,1340.0,551582.0,718.8,14.57,0.13,14.7,48,0.306,0,26.7,28.9,6,22.9,89.2,poor,1.506,fair,0,0.713,1,0.5144,0,6.12
XB-20240024,Peppers,Kaduna,Onitsha,10.52,7.44,6.14,6.79,418.1,71968.0,666.4,10.49,3.31,13.81,96,0.144,0,31.3,35.0,22,13.0,62.0,fair,0.853,good,0,0.5757,1,0.5004,0,6.0
XB-20240025,Dairy,Ibadan,Onitsha,7.38,3.93,6.14,6.79,3144.4,1299051.0,544.4,8.64,3.02,11.66,48,0.243,1,6.3,13.1,6,7.1,91.5,good,0.0,good,3,0.2563,0,0.3922,0,5.14
XB-20240026,Mangoes,Kano,Kaduna,12.0,8.52,10.52,7.44,4583.2,932249.0,323.8,5.7,2.12,7.82,96,0.082,1,19.2,22.7,20,2.7,65.2,good,0.0,fair,0,0.02,0,0.1939,0,3.55
XB-20240027,Mangoes,Kano,Onitsha,12.0,8.52,6.14,6.79,4407.9,864570.0,1077.2,27.61,0.04,27.65,96,0.288,0,31.3,34.1,20,14.1,55.5,fair,1.09,good,0,0.592,0,0.408,0,5.26
XB-20240028,Dairy,Onitsha,Ibadan,6.14,6.79,7.38,3.93,906.0,412963.0,509.7,10.24,0.45,10.69,48,0.223,0,31.3,36.2,6,30.2,67.2,fair,0.74,excellent,0,0.4362,0,0.2474,0,3.98
XB-20240029,Strawberries,Ibadan,Lagos,7.38,3.93,6.52,3.38,396.2,295950.0,163.2,3.76,0.29,4.06,36,0.113,1,8.8,12.0,8,4.0,68.5,fair,1.19,excellent,0,0.2299,0,0.1872,0,3.5
XB-20240030,Tomatoes,Kano,Port Harcourt,12.0,8.52,4.82,7.04,3066.9,1177819.0,1240.5,24.28,3.87,28.14,72,0.391,1,26.2,32.5,25,7.5,57.3,good,0.0,fair,2,0.3408,0,0.5579,1,6.46
XB-20240031,Peppers,Onitsha,Port Harcourt,6.14,6.79,4.82,7.04,1746.0,296139.0,190.1,4.24,0.19,4.43,96,0.046,0,37.1,42.1,22,20.1,58.2,fair,1.087,fair,0,0.5193,1,0.4071,0,5.26
XB-20240032,Mangoes,Lagos,Jos,6.52,3.38,9.92,8.89,3107.7,588879.0,999.8,26.27,0.25,26.52,96,0.276,1,19.1,22.8,20,2.8,61.4,poor,1.16,good,0,0.1472,0,0.1592,0,3.27
XB-20240033,Mangoes,Abuja,Onitsha,9.07,7.4,6.14,6.79,1020.3,210934.0,528.9,8.41,1.22,9.63,96,0.1,0,28.1,34.7,20,14.7,61.9,fair,0.925,good,0,0.5212,1,0.3064,0,4.45
XB-20240034,Leafy Greens,Abuja,Ibadan,9.07,7.4,7.38,3.93,2380.5,673015.0,519.5,10.09,0.34,10.43,48,0.217,0,28.7,34.3,10,24.3,84.4,good,0.0,fair,0,0.4359,0,0.458,0,5.66
XB-20240035,Fresh Fish,Zaria,Enugu,11.08,7.71,6.44,7.5,985.5,551623.0,774.8,13.04,1.64,14.68,24,0.612,0,31.0,38.3,4,34.3,69.5,poor,1.878,good,0,0.7949,1,0.4469,0,5.57
XB-20240036,Dairy,Kano,Zaria,12.0,8.52,11.08,7.71,4551.1,1958943.0,190.9,4.96,4.22,9.17,48,0.191,0,32.4,38.1,6,32.1,74.7,poor,2.577,excellent,0,0.5944,1,0.347,0,4.78
XB-20240037,Strawberries,Kaduna,Lagos,10.52,7.44,6.52,3.38,3822.2,2814959.0,948.3,18.56,0.71,19.27,36,0.535,0,31.5,36.5,8,28.5,75.0,fair,0.909,fair,0,0.729,1,0.6844,1,7.48
XB-20240038,Peppers,Abuja,Jos,9.07,7.4,9.92,8.89,2417.6,474102.0,270.6,6.83,1.32,8.16,96,0.085,0,34.4,40.6,22,18.6,89.1,poor,1.305,good,0,0.6763,1,0.4492,0,5.59
XB-20240039,Dairy,Onitsha,Kano,6.14,6.79,12.0,8.52,994.5,391485.0,845.2,14.06,0.61,14.66,48,0.305,1,7.6,11.9,6,5.9,82.5,good,0.0,fair,0,0.2955,0,0.2544,0,4.04
XB-20240040,Peppers,Ibadan,Onitsha,7.38,3.93,6.14,6.79,994.5,162316.0,437.8,9.87,2.27,12.15,96,0.127,1,21.3,26.4,22,4.4,91.1,fair,1.057,poor,1,0.0928,0,0.3608,0,4.89
XB-20240041,Mangoes,Zaria,Ibadan,11.08,7.71,7.38,3.93,1115.3,202385.0,782.7,15.92,1.25,17.17,96,0.179,1,20.7,25.9,20,5.9,71.3,fair,1.06,excellent,0,0.1422,0,0.01,0,2.08
XB-20240042,Leafy Greens,Kano,Zaria,12.0,8.52,11.08,7.71,4361.6,1198765.0,215.0,4.17,0.44,4.61,48,0.096,1,11.6,15.6,10,5.6,76.1,poor,2.113,fair,3,0.2194,0,0.4081,0,5.26
XB-20240043,Dairy,Enugu,Onitsha,6.44,7.5,6.14,6.79,327.4,128729.0,127.4,2.43,0.82,3.25,48,0.068,0,33.5,37.5,6,31.5,64.6,fair,1.09,good,0,0.5837,1,0.2617,0,4.09
XB-20240044,Tomatoes,Abuja,Onitsha,9.07,7.4,6.14,6.79,4368.6,1525183.0,503.0,8.13,2.41,10.55,72,0.146,1,24.6,29.9,25,4.9,78.4,fair,0.639,fair,2,0.1425,0,0.4377,0,5.5
XB-20240045,Mangoes,Enugu,Onitsha,6.44,7.5,6.14,6.79,857.1,185124.0,106.0,1.73,1.36,3.1,96,0.032,0,29.1,34.2,20,14.2,56.7,good,0.0,excellent,0,0.3301,0,0.1283,0,3.03
XB-20240046,Strawberries,Abuja,Kano,9.07,7.4,12.0,8.52,4756.7,3726681.0,518.1,8.14,0.22,8.36,36,0.232,0,26.5,31.7,8,23.7,61.0,poor,2.693,poor,0,0.5349,1,0.7054,1,7.64
XB-20240047,Leafy Greens,Kano,Enugu,12.0,8.52,6.44,7.5,2406.5,616664.0,931.1,24.94,0.0,24.94,48,0.52,0,27.1,34.0,10,24.0,90.6,poor,2.381,good,0,0.6812,1,0.4821,0,5.86
XB-20240048,Tomatoes,Port Harcourt,Onitsha,4.82,7.04,6.14,6.79,4536.1,1634222.0,217.3,3.89,0.08,3.97,72,0.055,0,32.3,37.8,25,12.8,92.0,fair,0.973,good,0,0.4872,1,0.3806,0,5.04
XB-20240049,Leafy Greens,Lagos,Port Harcourt,6.52,3.38,4.82,7.04,2707.7,780070.0,687.3,12.61,0.68,13.29,48,0.277,0,33.0,37.7,10,27.7,70.0,fair,1.304,good,0,0.6255,1,0.2539,0,4.03
XB-20240050,Leafy Greens,Lagos,Zaria,6.52,3.38,11.08,7.71,302.1,90925.0,962.8,18.93,4.2,23.12,48,0.482,0,40.2,44.3,10,34.3,83.4,fair,0.98,fair,3,0.8328,1,0.785,1,8.28
XB-20240051,Mangoes,Zaria,Lagos,11.08,7.71,6.52,3.38,3027.7,578569.0,916.7,14.71,0.07,14.78,96,0.154,1,18.7,26.5,20,6.5,84.5,fair,1.089,poor,5,0.3982,0,0.6792,1,7.43
XB-20240052,Tomatoes,Enugu,Lagos,6.44,7.5,6.52,3.38,1094.9,404645.0,616.3,13.54,0.09,13.63,72,0.189,0,35.7,42.3,25,17.3,80.8,good,0.0,good,0,0.3932,0,0.3894,0,5.12
XB-20240053,Fresh Fish,Jos,Zaria,9.92,8.89,11.08,7.71,2488.0,1356796.0,238.3,3.93,0.05,3.99,24,0.166,1,6.4,10.1,4,6.1,64.3,good,0.0,excellent,0,0.3469,0,0.2279,0,3.82
XB-20240054,Dairy,Zaria,Lagos,11.08,7.71,6.52,3.38,1481.7,669455.0,985.5,16.73,1.61,18.34,48,0.382,0,36.8,43.0,6,37.0,86.0,fair,1.18,fair,1,0.6167,1,0.525,1,6.2
XB-20240055,Dairy,Abuja,Lagos,9.07,7.4,6.52,3.38,1441.7,568353.0,806.0,21.48,0.59,22.07,48,0.46,0,28.5,32.2,6,26.2,55.7,fair,1.34,good,0,0.613,1,0.3732,0,4.99
XB-20240056,Tomatoes,Abuja,Kano,9.07,7.4,12.0,8.52,2994.4,1015742.0,525.0,9.79,0.07,9.86,72,0.137,0,39.2,47.0,25,22.0,82.7,good,0.0,excellent,0,0.6062,1,0.2991,0,4.39
XB-20240057,Dairy,Lagos,Port Harcourt,6.52,3.38,4.82,7.04,4300.2,1815848.0,612.5,10.25,0.53,10.78,48,0.225,0,34.3,41.5,6,35.5,90.6,good,0.0,poor,3,0.526,1,0.8328,1,8.66
XB-20240058,Fresh Fish,Ibadan,Kano,7.38,3.93,12.0,8.52,2901.2,1730810.0,1050.1,20.47,0.26,20.73,24,0.864,1,2.9,7.6,4,3.6,74.6,good,0.0,good,2,0.2802,0,0.2879,0,4.3
XB-20240059,Dairy,Jos,Kaduna,9.92,8.89,10.52,7.44,3033.3,1256964.0,246.6,3.82,0.24,4.06,48,0.085,0,36.6,41.0,6,35.0,91.1,poor,2.314,fair,4,0.6228,1,0.6567,1,7.25
XB-20240060,Leafy Greens,Abuja,Kano,9.07,7.4,12.0,8.52,1767.0,496517.0,495.6,13.17,0.65,13.81,48,0.288,1,10.4,13.2,10,3.2,76.0,fair,1.301,good,0,0.2536,0,0.1789,0,3.43
XB-20240061,Tomatoes,Kaduna,Enugu,10.52,7.44,6.44,7.5,3603.5,1354797.0,553.9,9.82,2.43,12.24,72,0.17,1,23.5,30.8,25,5.8,75.3,poor,1.905,fair,1,0.2869,0,0.3811,0,5.05
XB-20240062,Dairy,Onitsha,Abuja,6.14,6.79,9.07,7.4,3990.6,1729232.0,498.2,9.98,1.22,11.19,48,0.233,0,26.9,33.0,6,27.0,57.7,good,0.0,good,1,0.5353,0,0.3225,0,4.58
XB-20240063,Strawberries,Abuja,Jos,9.07,7.4,9.92,8.89,2977.6,2352869.0,267.6,4.71,1.0,5.71,36,0.159,0,34.3,38.8,8,30.8,65.2,fair,1.412,good,0,0.6244,1,0.4588,0,5.67
XB-20240064,Dairy,Onitsha,Lagos,6.14,6.79,6.52,3.38,531.8,220565.0,482.5,12.72,0.78,13.5,48,0.281,0,31.7,37.6,6,31.6,66.5,fair,1.358,excellent,0,0.5694,1,0.1876,0,3.5
XB-20240065,Leafy Greens,Enugu,Ibadan,6.44,7.5,7.38,3.93,2354.1,681488.0,561.3,14.26,0.9,15.15,48,0.316,0,42.1,45.6,10,35.6,68.3,fair,1.106,good,0,0.6162,1,0.4663,0,5.73
XB-20240066,Leafy Greens,Kaduna,Abuja,10.52,7.44,9.07,7.4,790.3,209374.0,211.0,5.77,1.53,7.3,48,0.152,1,8.5,11.2,10,1.2,76.6,fair,0.897,good,1,0.0346,0,0.2142,0,3.71
XB-20240067,Mangoes,Kaduna,Abuja,10.52,7.44,9.07,7.4,1678.1,349351.0,201.7,4.91,1.68,6.59,96,0.069,0,27.1,34.3,20,14.3,61.6,fair,1.338,poor,2,0.6517,1,0.7322,1,7.86
XB-20240068,Peppers,Abuja,Kano,9.07,7.4,12.0,8.52,3362.7,592429.0,501.3,9.19,0.17,9.36,96,0.098,0,38.2,40.5,22,18.5,91.2,fair,1.371,fair,1,0.5433,1,0.5962,0,6.77
XB-20240069,Tomatoes,Kaduna,Lagos,10.52,7.44,6.52,3.38,1722.5,647370.0,948.3,20.49,0.53,21.02,72,0.292,0,35.3,40.7,25,15.7,69.1,fair,1.096,good,0,0.6733,1,0.3653,0,4.92
XB-20240070,Leafy Greens,Lagos,Enugu,6.52,3.38,6.44,7.5,4767.1,1427466.0,615.5,9.86,2.52,12.38,48,0.258,1,11.2,14.6,10,4.6,72.6,fair,1.049,fair,1,0.3103,0,0.4768,1,5.81
XB-20240071,Peppers,Jos,Abuja,9.92,8.89,9.07,7.4,1146.3,205482.0,296.5,7.26,0.27,7.53,96,0.078,0,32.8,38.8,22,16.8,89.4,fair,1.081,excellent,0,0.4927,0,0.3399,0,4.72
XB-20240072,Peppers,Onitsha,Zaria,6.14,6.79,11.08,7.71,1617.3,308204.0,787.6,19.42,3.75,23.17,96,0.241,1,24.9,29.1,22,7.1,74.5,good,0.0,fair,1,0.3596,0,0.5161,1,6.13
XB-20240073,Tomatoes,Enugu,Zaria,6.44,7.5,11.08,7.71,1337.0,494197.0,778.8,18.01,2.59,20.6,72,0.286,1,23.6,29.3,25,4.3,71.7,fair,0.668,fair,1,0.385,0,0.5566,1,6.45
XB-20240074,Strawberries,Jos,Enugu,9.92,8.89,6.44,7.5,3065.8,2538916.0,663.7,13.75,0.89,14.63,36,0.406,0,31.3,36.9,8,28.9,67.5,poor,2.545,good,0,0.5951,1,0.2963,0,4.37
XB-20240075,Fresh Fish,Onitsha,Abuja,6.14,6.79,9.07,7.4,524.5,333630.0,458.1,10.9,1.16,12.07,24,0.503,0,30.7,35.9,4,31.9,67.0,fair,1.169,poor,2,0.5639,1,0.7119,1,7.7
XB-20240076,Mangoes,Jos,Onitsha,9.92,8.89,6.14,6.79,2228.9,474473.0,678.4,19.36,0.54,19.9,96,0.207,0,30.0,37.9,20,17.9,55.7,poor,2.537,good,1,0.5486,1,0.4665,0,5.73
XB-20240077,Mangoes,Kaduna,Abuja,10.52,7.44,9.07,7.4,764.7,144603.0,239.3,5.29,0.72,6.01,96,0.063,1,21.1,28.0,20,8.0,65.3,poor,2.747,excellent,0,0.3579,0,0.2803,0,4.24
XB-20240078,Strawberries,Kano,Onitsha,12.0,8.52,6.14,6.79,3436.7,2767187.0,1036.4,18.3,0.23,18.53,36,0.515,1,7.9,10.1,8,2.1,60.7,good,0.0,good,1,0.3614,0,0.4021,0,5.22
XB-20240079,Tomatoes,Kaduna,Abuja,10.52,7.44,9.07,7.4,4161.0,1504777.0,226.0,5.85,0.98,6.82,72,0.095,0,25.5,28.0,25,3.0,83.7,good,0.0,poor,1,0.3176,0,0.5116,0,6.09
XB-20240080,Tomatoes,Port Harcourt,Ibadan,4.82,7.04,7.38,3.93,479.2,184314.0,569.9,15.51,1.78,17.3,72,0.24,0,28.6,34.7,25,9.7,57.3,fair,1.497,fair,1,0.5202,0,0.3735,0,4.99
XB-20240081,Fresh Fish,Abuja,Ibadan,9.07,7.4,7.38,3.93,2511.8,1409715.0,573.3,12.3,4.98,17.28,24,0.72,1,4.5,11.3,4,7.3,76.5,fair,0.69,fair,0,0.6127,1,0.4347,1,5.48
XB-20240082,Fresh Fish,Abuja,Kano,9.07,7.4,12.0,8.52,3301.2,1980476.0,432.9,10.07,0.24,10.32,24,0.43,1,3.5,9.4,4,5.4,85.0,fair,1.36,good,1,0.4083,1,0.3987,0,5.19
XB-20240083,Fresh Fish,Kano,Ibadan,12.0,8.52,7.38,3.93,3949.6,2523869.0,873.8,17.52,0.73,18.26,24,0.761,0,30.8,38.1,4,34.1,71.7,poor,1.211,poor,1,0.8279,1,0.8151,1,8.52
XB-20240084,Peppers,Abuja,Kaduna,9.07,7.4,10.52,7.44,1623.4,283423.0,218.6,3.75,1.62,5.38,96,0.056,1,20.6,26.6,22,4.6,83.3,fair,0.521,excellent,0,0.2977,0,0.2275,0,3.82
XB-20240085,Mangoes,Kano,Port Harcourt,12.0,8.52,4.82,7.04,532.4,116277.0,1178.2,23.88,3.39,27.27,96,0.284,1,20.8,23.5,20,3.5,73.0,poor,2.042,fair,0,0.2637,0,0.3439,0,4.75
XB-20240086,Fresh Fish,Enugu,Jos,6.44,7.5,9.92,8.89,1355.3,751636.0,526.6,12.87,3.27,16.14,24,0.672,0,31.8,38.9,4,34.9,89.0,fair,1.255,good,1,0.7975,1,0.5031,0,6.02
XB-20240087,Dairy,Jos,Kaduna,9.92,8.89,10.52,7.44,991.1,385607.0,243.7,4.29,2.55,6.85,48,0.143,1,9.0,15.4,6,9.4,75.1,fair,1.008,good,0,0.4119,0,0.3257,0,4.61
XB-20240088,Dairy,Zaria,Jos,11.08,7.71,9.92,8.89,4431.0,1778340.0,236.9,5.8,3.18,8.98,48,0.187,0,33.8,40.3,6,34.3,85.2,fair,1.188,good,0,0.7057,1,0.4578,0,5.66
XB-20240089,Fresh Fish,Jos,Lagos,9.92,8.89,6.52,3.38,1769.3,987018.0,1074.2,24.32,3.14,27.46,24,1.144,0,36.9,44.2,4,40.2,76.9,fair,0.913,fair,0,0.8233,1,0.6817,1,7.45
XB-20240090,Mangoes,Onitsha,Zaria,6.14,6.79,11.08,7.71,3672.3,676319.0,777.7,18.62,1.82,20.44,96,0.213,1,21.6,27.2,20,7.2,55.8,fair,1.136,excellent,0,0.2786,0,0.1725,0,3.38
XB-20240091,Tomatoes,Abuja,Zaria,9.07,7.4,11.08,7.71,625.3,206620.0,337.8,6.38,2.0,8.38,72,0.116,0,35.8,41.7,25,16.7,70.6,fair,1.286,excellent,0,0.61,1,0.2867,0,4.29
XB-20240092,Leafy Greens,Port Harcourt,Enugu,4.82,7.04,6.44,7.5,1805.7,457674.0,267.0,7.47,2.67,10.15,48,0.211,1,9.8,17.4,10,7.4,64.6,fair,1.373,fair,0,0.3285,0,0.4477,1,5.58
XB-20240093,Strawberries,Abuja,Zaria,9.07,7.4,11.08,7.71,2296.9,1921851.0,353.0,6.09,0.26,6.35,36,0.176,0,31.7,39.4,8,31.4,57.6,good,0.0,good,0,0.5554,0,0.3273,0,4.62
XB-20240094,Fresh Fish,Enugu,Jos,6.44,7.5,9.92,8.89,950.6,610659.0,628.6,17.27,1.45,18.72,24,0.78,0,28.7,32.6,4,28.6,83.6,good,0.0,fair,1,0.6803,1,0.6624,1,7.3
XB-20240095,Leafy Greens,Jos,Port Harcourt,9.92,8.89,4.82,7.04,895.8,262128.0,959.7,23.56,0.62,24.18,48,0.504,1,13.8,16.9,10,6.9,55.8,poor,1.836,excellent,0,0.4716,0,0.3507,0,4.81
XB-20240096,Tomatoes,Enugu,Jos,6.44,7.5,9.92,8.89,2809.0,900899.0,631.1,12.95,0.99,13.94,72,0.194,1,28.1,34.1,25,9.1,72.1,fair,1.151,good,0,0.4643,0,0.3356,0,4.68
XB-20240097,Leafy Greens,Kano,Zaria,12.0,8.52,11.08,7.71,1785.0,525474.0,209.3,4.14,0.34,4.48,48,0.093,0,35.7,40.4,10,30.4,91.4,poor,1.054,excellent,0,0.6569,1,0.3334,0,4.67
XB-20240098,Tomatoes,Kaduna,Zaria,10.52,7.44,11.08,7.71,2107.4,677620.0,100.8,2.09,0.33,2.42,72,0.034,1,25.1,31.7,25,6.7,65.2,fair,1.143,excellent,0,0.3031,0,0.01,0,2.08
XB-20240099,Dairy,Lagos,Zaria,6.52,3.38,11.08,7.71,4549.5,1825527.0,1004.9,15.58,0.23,15.81,48,0.329,1,9.4,15.3,6,9.3,60.6,fair,1.115,excellent,0,0.4699,0,0.2364,0,3.89
XB-20240100,Dairy,Onitsha,Port Harcourt,6.14,6.79,4.82,7.04,1750.5,808280.0,219.1,3.4,1.6,5.0,48,0.104,1,4.6,6.7,6,0.7,85.4,good,0.0,poor,1,0.2415,0,0.5046,0,6.04
XB-20240101,Leafy Greens,Lagos,Enugu,6.52,3.38,6.44,7.5,4132.4,1244976.0,611.5,12.05,0.42,12.47,48,0.26,1,12.3,16.8,10,6.8,88.5,poor,1.383,fair,0,0.389,0,0.4422,0,5.54
XB-20240102,Leafy Greens,Ibadan,Kano,7.38,3.93,12.0,8.52,1760.5,511309.0,899.0,24.24,0.29,24.53,48,0.511,0,32.1,39.2,10,29.2,65.3,fair,1.194,good,0,0.6904,1,0.3662,0,4.93
XB-20240103,Dairy,Onitsha,Enugu,6.14,6.79,6.44,7.5,4514.5,1953250.0,129.2,2.11,0.0,2.11,48,0.044,1,6.3,9.6,6,3.6,69.1,good,0.0,fair,1,0.0717,0,0.2985,0,4.39
XB-20240104,Strawberries,Jos,Ibadan,9.92,8.89,7.38,3.93,3819.0,3241525.0,975.7,27.45,4.94,32.39,36,0.9,0,29.4,36.7,8,28.7,59.2,poor,2.081,excellent,0,0.9169,1,0.4573,0,5.66
XB-20240105,Mangoes,Port Harcourt,Ibadan,4.82,7.04,7.38,3.93,3767.3,685374.0,576.1,9.28,2.87,12.15,96,0.127,0,33.0,40.4,20,20.4,61.9,good,0.0,fair,0,0.4914,1,0.5154,0,6.12
XB-20240106,Tomatoes,Ibadan,Kano,7.38,3.93,12.0,8.52,4566.2,1652255.0,1074.8,17.95,3.17,21.12,72,0.293,0,27.7,32.4,25,7.4,83.6,fair,1.393,good,0,0.5127,0,0.4548,0,5.64
XB-20240107,Dairy,Onitsha,Abuja,6.14,6.79,9.07,7.4,4859.7,1944186.0,450.4,10.44,0.96,11.4,48,0.237,0,32.9,37.4,6,31.4,88.0,good,0.0,fair,1,0.352,0,0.3507,0,4.81
XB-20240108,Dairy,Ibadan,Port Harcourt,7.38,3.93,4.82,7.04,2777.6,1249235.0,572.6,15.69,2.69,18.38,48,0.383,0,23.7,27.0,6,21.0,69.7,good,0.0,fair,0,0.4444,0,0.4845,0,5.88
XB-20240109,Peppers,Onitsha,Ibadan,6.14,6.79,7.38,3.93,1518.7,267604.0,475.6,9.98,0.79,10.77,96,0.112,0,35.4,41.0,22,19.0,66.4,poor,2.91,fair,0,0.5083,1,0.4629,1,5.7
XB-20240110,Fresh Fish,Abuja,Lagos,9.07,7.4,6.52,3.38,2042.4,1214730.0,685.0,14.87,0.19,15.06,24,0.628,1,2.4,4.9,4,0.9,68.1,poor,2.337,fair,0,0.3063,0,0.3543,0,4.83
XB-20240111,Fresh Fish,Jos,Onitsha,9.92,8.89,6.14,6.79,3261.8,2051410.0,743.3,14.6,2.65,17.25,24,0.719,0,37.2,41.8,4,37.8,58.1,fair,1.41,fair,0,0.8619,1,0.6938,1,7.55
XB-20240112,Leafy Greens,Onitsha,Enugu,6.14,6.79,6.44,7.5,3033.4,802847.0,112.8,2.42,0.9,3.32,48,0.069,0,34.6,37.2,10,27.2,87.9,good,0.0,excellent,0,0.5464,1,0.1297,0,3.04
